"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-4609","SHOTWELL ST","CESAR CHAVEZ ST","PRECITA AVE","San Francisco Water Department","Repair Main","Water Service","2009-08-07 00:00:00","2009-09-05 00:00:00","APPROVED","11845000"
"09EXC-4717","CHERRY ST","WASHINGTON ST","","San Francisco Water Department","Repair Leak","Water Service","2009-08-07 00:00:00","2009-09-05 00:00:00","APPROVED","27572000"
"09EXC-4717","WASHINGTON ST","CHERRY ST","","San Francisco Water Department","Repair Leak","Water Service","2009-08-07 00:00:00","2009-09-05 00:00:00","APPROVED","27572000"
"09EXC-4667","WOOD ST","DICHA ALY","GEARY BLVD","Pacific Gas & Electric","Replace Service","Gas","2009-09-07 00:00:00","2009-10-21 00:00:00","APPROVED","13705000"
"09EXC-4391","WEST PORTAL AVE","14TH AVE","15TH AVE","Clear Channel Outdoor","Install Newsrack","NewsRack","2009-08-15 00:00:00","2009-09-13 00:00:00","APPROVED","13579101"
"09EXC-5241","MCALLISTER ST","DIVISADERO ST","BRODERICK ST","San Francisco Water Department","Repair Leak","Water Service","2009-08-31 00:00:00","2009-09-09 00:00:00","APPROVED","8904000"
"09EXC-4448","MUNICH ST","BRAZIL AVE","PERSIA AVE","Pacific Gas & Electric","Install New Service","Gas","2009-08-24 00:00:00","2009-10-07 00:00:00","APPROVED","9448000"
"09EXC-4834","BRYANT ST","LANGTON ST","KATE ST","Bureau of Urban Forestry","Install New Curb Ramp","Curb Ramp","2009-08-17 00:00:00","2009-09-15 00:00:00","APPROVED","3294000"
"09EXC-4423","BYXBEE ST","SHIELDS ST","GARFIELD ST","Pacific Gas & Electric","Replace Service","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","3465000"
"09EXC-4713","NORIEGA ST","10TH AVE","11TH AVE","Pacific Gas & Electric","Repair Leak","Gas","2009-08-11 00:00:00","2009-09-09 00:00:00","APPROVED","9646000"
"09EXC-4494","19TH AVE","ORTEGA ST","PACHECO ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-28 00:00:00","2009-09-10 00:00:00","APPROVED","916101"
"09EXC-4880","HAMILTON ST","MANSELL ST","DELTA ST","San Francisco Water Department","Repair Leak","Water Service","2009-08-13 00:00:00","2009-09-11 00:00:00","APPROVED","6643000"
"09EXC-4759","WEBSTER ST","NORTH POINT ST","BEACH ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-06 00:00:00","2009-09-19 00:00:00","APPROVED","13563000"
"09EXC-5159","NATOMA ST","11TH ST","LAFAYETTE ST","San Francisco Water Department","Install New Service","Water Service","2009-08-27 00:00:00","2009-09-05 00:00:00","APPROVED","9517000"
"09EXC-3113","KIRKHAM ST","24TH AVE","25TH AVE","San Francisco Water Department","Repair Main","Water Service","3009-05-26 00:00:00","3009-06-04 00:00:00","APPROVED","7862000"
"09EXC-4283","FITZGERALD AVE","END","BAY SHORE BLVD","Pacific Gas & Electric","Install New Main","Gas","2009-09-14 00:00:00","2009-10-28 00:00:00","APPROVED","5602000"
"09EXC-4889","THOMAS AVE","KEITH ST","LANE ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-17 00:00:00","2009-09-30 00:00:00","APPROVED","12573000"
"09EXC-4783","DANVERS ST","CASELLI AVE","19TH ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-07 00:00:00","2009-09-20 00:00:00","APPROVED","4583000"
